Criterion,max_depth,min_samples_split,accuracy
classification_error,19,8,0.7975
classification_error,19,9,0.8
classification_error,19,10,0.8
classification_error,19,11,0.8
classification_error,19,12,0.8
classification_error,19,13,0.8
classification_error,19,14,0.7975
classification_error,19,15,0.7975
classification_error,19,16,0.7975
classification_error,19,17,0.7975
classification_error,19,18,0.7975
classification_error,19,19,0.7975
classification_error,19,20,0.7975
classification_error,20,2,0.81
classification_error,20,3,0.81
classification_error,20,4,0.8075
classification_error,20,5,0.8075
classification_error,20,6,0.805
classification_error,20,7,0.8
classification_error,20,8,0.795
classification_error,20,9,0.7975
classification_error,20,10,0.7975
classification_error,20,11,0.7975
classification_error,20,12,0.7975
classification_error,20,13,0.7975
classification_error,20,14,0.795
classification_error,20,15,0.795
classification_error,20,16,0.795
classification_error,20,17,0.795
classification_error,20,18,0.795
classification_error,20,19,0.795
classification_error,20,20,0.795
