Criterion,max_depth,min_samples_split,accuracy
gini,13,13,0.79
gini,13,14,0.785
gini,13,15,0.7825
gini,13,16,0.7875
gini,13,17,0.785
gini,13,18,0.7825
gini,13,19,0.7825
gini,13,20,0.7875
gini,14,2,0.7725
gini,14,3,0.7725
gini,14,4,0.7775
gini,14,5,0.775
gini,14,6,0.7775
gini,14,7,0.78
gini,14,8,0.775
gini,14,9,0.7775
gini,14,10,0.78
gini,14,11,0.78
gini,14,12,0.78
gini,14,13,0.78
gini,14,14,0.775
gini,14,15,0.7725
gini,14,16,0.7775
gini,14,17,0.7775
gini,14,18,0.775
gini,14,19,0.775
gini,14,20,0.78
gini,15,2,0.7625
gini,15,3,0.7625
gini,15,4,0.7675
gini,15,5,0.765
gini,15,6,0.77
gini,15,7,0.7725
gini,15,8,0.7675
gini,15,9,0.77
gini,15,10,0.7725
gini,15,11,0.7725
gini,15,12,0.7725
gini,15,13,0.7725
gini,15,14,0.7675
gini,15,15,0.765
gini,15,16,0.77
gini,15,17,0.77
gini,15,18,0.7675
gini,15,19,0.7675
gini,15,20,0.7725
gini,16,2,0.7625
gini,16,3,0.7625
gini,16,4,0.7675
gini,16,5,0.765
gini,16,6,0.77
gini,16,7,0.775
gini,16,8,0.77
gini,16,9,0.7725
gini,16,10,0.775
gini,16,11,0.775
gini,16,12,0.775
gini,16,13,0.775
gini,16,14,0.765
gini,16,15,0.765
gini,16,16,0.77
gini,16,17,0.77
gini,16,18,0.7675
gini,16,19,0.7675
gini,16,20,0.7725
gini,17,2,0.76
gini,17,3,0.76
gini,17,4,0.765
gini,17,5,0.7625
gini,17,6,0.7675
gini,17,7,0.7725
gini,17,8,0.7675
gini,17,9,0.77
gini,17,10,0.7725
gini,17,11,0.7725
gini,17,12,0.7725
gini,17,13,0.7725
gini,17,14,0.7625
gini,17,15,0.7625
gini,17,16,0.7675
gini,17,17,0.7675
gini,17,18,0.765
gini,17,19,0.765
gini,17,20,0.77
gini,18,2,0.75
gini,18,3,0.75
gini,18,4,0.755
gini,18,5,0.7525
gini,18,6,0.7575
gini,18,7,0.7625
gini,18,8,0.7625
gini,18,9,0.765
gini,18,10,0.7675
gini,18,11,0.7675
gini,18,12,0.7675
gini,18,13,0.7675
gini,18,14,0.7575
gini,18,15,0.7575
gini,18,16,0.765
gini,18,17,0.765
gini,18,18,0.7625
gini,18,19,0.7625
gini,18,20,0.7675
gini,19,2,0.745
gini,19,3,0.7475
gini,19,4,0.7525
gini,19,5,0.75
gini,19,6,0.755
gini,19,7,0.76
gini,19,8,0.7625
gini,19,9,0.765
gini,19,10,0.7675
gini,19,11,0.7675
gini,19,12,0.7675
gini,19,13,0.7675
gini,19,14,0.7575
gini,19,15,0.7575
gini,19,16,0.765
gini,19,17,0.765
gini,19,18,0.7625
gini,19,19,0.7625
gini,19,20,0.7675
gini,20,2,0.7375
gini,20,3,0.7425
gini,20,4,0.7475
gini,20,5,0.745
gini,20,6,0.7525
gini,20,7,0.7575
gini,20,8,0.76
gini,20,9,0.7625
gini,20,10,0.765
gini,20,11,0.7675
gini,20,12,0.7675
gini,20,13,0.7675
gini,20,14,0.7575
gini,20,15,0.7575
gini,20,16,0.765
gini,20,17,0.765
gini,20,18,0.7625
gini,20,19,0.7625
gini,20,20,0.7675
entropy,1,2,0.8375
entropy,1,3,0.8375
entropy,1,4,0.8375
entropy,1,5,0.8375
entropy,1,6,0.8375
entropy,1,7,0.8375
entropy,1,8,0.8375
entropy,1,9,0.8375
entropy,1,10,0.8375
entropy,1,11,0.8375
entropy,1,12,0.8375
entropy,1,13,0.8375
entropy,1,14,0.8375
entropy,1,15,0.8375
entropy,1,16,0.8375
entropy,1,17,0.8375
entropy,1,18,0.8375
entropy,1,19,0.8375
entropy,1,20,0.8375
entropy,2,2,0.8375
entropy,2,3,0.8375
entropy,2,4,0.8375
entropy,2,5,0.8375
entropy,2,6,0.8375
entropy,2,7,0.8375
entropy,2,8,0.8375
entropy,2,9,0.8375
entropy,2,10,0.8375
entropy,2,11,0.8375
entropy,2,12,0.8375
entropy,2,13,0.8375
entropy,2,14,0.8375
entropy,2,15,0.8375
entropy,2,16,0.8375
entropy,2,17,0.8375
entropy,2,18,0.8375
entropy,2,19,0.8375
entropy,2,20,0.8375
entropy,3,2,0.835
entropy,3,3,0.835
entropy,3,4,0.835
entropy,3,5,0.835
entropy,3,6,0.835
entropy,3,7,0.835
entropy,3,8,0.835
entropy,3,9,0.835
entropy,3,10,0.835
entropy,3,11,0.835
entropy,3,12,0.835
entropy,3,13,0.835
entropy,3,14,0.835
entropy,3,15,0.835
entropy,3,16,0.835
entropy,3,17,0.835
entropy,3,18,0.835
entropy,3,19,0.835
entropy,3,20,0.835
entropy,4,2,0.8375
entropy,4,3,0.8375
entropy,4,4,0.8375
entropy,4,5,0.8375
entropy,4,6,0.8375
entropy,4,7,0.8375
entropy,4,8,0.8375
entropy,4,9,0.8375
entropy,4,10,0.8375
entropy,4,11,0.8375
entropy,4,12,0.8375
entropy,4,13,0.8375
entropy,4,14,0.835
entropy,4,15,0.835
entropy,4,16,0.835
entropy,4,17,0.835
entropy,4,18,0.835
entropy,4,19,0.835
entropy,4,20,0.835
entropy,5,2,0.8375
entropy,5,3,0.8375
entropy,5,4,0.8375
entropy,5,5,0.8375
entropy,5,6,0.8375
entropy,5,7,0.8375
entropy,5,8,0.8375
entropy,5,9,0.8375
entropy,5,10,0.8375
entropy,5,11,0.8375
entropy,5,12,0.8375
entropy,5,13,0.8375
entropy,5,14,0.835
entropy,5,15,0.835
entropy,5,16,0.835
entropy,5,17,0.835
entropy,5,18,0.835
entropy,5,19,0.835
entropy,5,20,0.835
entropy,6,2,0.8325
entropy,6,3,0.8325
entropy,6,4,0.8325
entropy,6,5,0.8325
entropy,6,6,0.8325
entropy,6,7,0.8325
entropy,6,8,0.8325
entropy,6,9,0.8325
entropy,6,10,0.8325
entropy,6,11,0.8325
entropy,6,12,0.8325
entropy,6,13,0.8325
entropy,6,14,0.83
